CUSIP,Avg_Pos,Avg_Neg
29365DAA7,-1.333,-16.42
29365DAB5,1.303,-15.815
75026JAE0,1.597,-15.4
767754AJ3,1.883,-15.22
530715AD3,-1.053,-14.12
126307BA4,3.313,-11.79
96208LAA9,6.66,-11.655
747262AZ6,2.883,-10.925
530715AJ0,-3.507,-10.885
958278AA1,-3.747,-10.025
96209BAA0,2.577,-9.8
126307AY3,2.003,-9.745
747262AY9,2.757,-9.545
98262PAA9,6.27,-9.49
51602UAD0,5.5,-9.205
156700BD7,-1.697,-9.09
550241AA1,-2.497,-9.045
156686AM9,-1.943,-8.93
86304TAA6,6.29,-8.84
14852LAA1,-7.833,-8.42
767754CL6,-1.567,-8.405
688777AA9,6.17,-8.085
75102WAB4,3.347,-7.8
87356LAA8,3.643,-7.71
527298BS1,0.87,-7.635
553283AC6,1.987,-7.365
29373TAA2,-1.78,-7.045
63530QAJ8,-8.25,-7.035
20903XAH6,4.8,-7.03
20903XAF0,5.61,-7.025
88146LAA1,2.71,-7.005
95076PAA1,-0.94,-6.865
91327BAA8,5.257,-6.65
527298BR3,1.157,-6.59
82666QAA3,5.86,-6.52
91327AAB8,6.42,-6.405
527298BN2,1.667,-6.105
75026JAC4,1.893,-6.06
74969PAA6,3.54,-5.835
86184WAA4,0.627,-5.835
390607AF6,5.263,-5.705
700677AR8,6.537,-5.535
126307AZ0,3.493,-5.44
750098AB1,2.8,-5.425
60041CAA6,0.44,-5.415
92641PAA4,7.75,-5.2
156700BB1,-0.243,-5.185
05552BAA4,6.73,-5.025
65442QAA9,-0.527,-4.765
690732AF9,2.58,-4.7
19416MAB5,4.573,-4.65
29254BAA5,2.97,-4.61
75606DAL5,3.663,-4.505
81721MAM1,5.76,-4.495
516806AH9,2.513,-4.445
126307AS6,2.907,-4.39
90473LAA0,4.95,-4.34
553283AD4,1.703,-4.305
690732AG7,1.997,-4.295
747262AU7,2.113,-4.29
20679LAB7,4.857,-4.27
81104PAA7,1.36,-4.19
73103PAA5,-0.463,-4.12
431318AS3,3.64,-4.08
156700BC9,0.243,-4.08
25470XBD6,4.187,-4.035
644535AH9,7.257,-4.03
02406PBB5,6.18,-4.02
02406PBA7,4.877,-3.99
26885BAK6,4.31,-3.99
11284DAA3,3.123,-3.865
126307AQ0,3.4,-3.835
18064PAC3,4.1,-3.795
81105DAA3,3.187,-3.745
05553LAA1,6.31,-3.725
62482BAA0,4.727,-3.715
11284DAC9,4.263,-3.665
25470XBB0,4.77,-3.66
41984LAA5,4.73,-3.66
74052HAA2,5.207,-3.63
50168QAC9,5.497,-3.605
45174HBG1,3.263,-3.6
02156TAA2,7.22,-3.55
541056AA5,-2.973,-3.55
26483EAL4,3.073,-3.48
22303XAA3,4.357,-3.47
431318AV6,4.963,-3.36
92552VAN0,7.577,-3.355
45174HBE6,3.98,-3.345
12687GAA7,1.853,-3.34
46284VAJ0,4.613,-3.33
926400AA0,6.173,-3.25
203372AV9,4.167,-3.25
75102WAA6,3.51,-3.235
65249BAA7,3.05,-3.225
716473AE3,-0.147,-3.205
19260QAC1,5.43,-3.18
462914AA0,1.093,-3.16
345397ZR7,3.97,-3.15
55760LAB3,8.017,-3.135
45074JAA2,4.917,-3.115
91327BAB6,3.13,-3.1
505742AM8,4.093,-3.065
20338QAA1,4.957,-3.06
740212AM7,3.82,-3.06
92553PBC5,1.597,-3.06
28228PAB7,4.267,-3.055
20848VAB1,3.453,-3.055
12510CAA9,1.523,-3.055
12662PAD0,3.977,-3.045
156700AZ9,0.77,-3.04
384311AA4,5.883,-3.035
01883LAD5,3.863,-3.035
914906AX0,3.073,-2.97
143658BR2,8.933,-2.955
92943GAA9,4.51,-2.915
26885BAC4,4.23,-2.905
588056BB6,2.833,-2.905
55617LAQ5,6.773,-2.9
89668QAF5,7.36,-2.855
126458AE8,3.673,-2.85
01021FAB5,1.043,-2.845
02154CAH6,4.973,-2.84
78433BAB4,4.947,-2.835
74841CAA9,3.98,-2.83
55617LAP7,7.21,-2.81
09257WAD2,3.803,-2.775
893647BP1,4.2,-2.77
26885BAH3,3.37,-2.77
579063AB4,1.847,-2.76
92840VAH5,3.397,-2.745
70052LAB9,3.72,-2.73
59565JAA9,4.05,-2.705
00081TAK4,5.59,-2.695
70052LAC7,3.187,-2.685
12116LAC3,2.537,-2.665
707569AV1,4.183,-2.64
62886EBA5,6.54,-2.615
90473LAC6,5.883,-2.605
25470XAY1,3.833,-2.6
008911BK4,3.943,-2.585
031921AB5,2.637,-2.575
45824TBC8,3.73,-2.56
40204BAA3,2.37,-2.555
858155AE4,2.163,-2.555
143658BL5,8.873,-2.55
31556TAA7,3.973,-2.525
29336TAA8,2.973,-2.525
94107JAA1,3.533,-2.515
20338HAB9,4.86,-2.51
629377CH3,2.843,-2.51
57164PAH9,4.387,-2.505
28228PAA9,3.11,-2.5
449691AC8,5.023,-2.47
88104LAG8,3.58,-2.445
35908MAB6,3.353,-2.435
670001AE6,4.783,-2.395
45258LAA5,2.627,-2.39
29365BAB9,2.937,-2.385
25470XBE4,2.547,-2.35
126307AH0,3.487,-2.33
65336YAN3,3.267,-2.33
039524AA1,4.587,-2.315
78471RAD8,4.013,-2.315
15138AAC4,2.083,-2.315
71376LAE0,3.88,-2.31
235825AG1,5.17,-2.305
577088AA5,4.443,-2.305
345397C27,3.207,-2.305
019576AB3,6.75,-2.295
02156TAB0,5.397,-2.28
345397B51,4.003,-2.275
092174AA9,2.79,-2.265
35908MAA8,3.067,-2.255
82967NBJ6,2.403,-2.24
87901JAH8,0.863,-2.24
12687GAB5,0.163,-2.24
63861CAC3,5.253,-2.235
205768AT1,2.153,-2.235
667449AC6,3.403,-2.23
60337JAA4,2.533,-2.23
82967NBC1,2.507,-2.225
889184AC1,8.15,-2.215
50201DAA1,6.287,-2.215
118230AR2,3.02,-2.215
143658BN1,7.96,-2.21
45174HBD8,4.297,-2.21
50201DAD5,5.823,-2.2
55760LAA5,4.51,-2.195
78454LAW0,1.38,-2.19
56085RAA8,6.6,-2.18
35906ABE7,3.353,-2.18
65342QAB8,2.173,-2.18
91835HAA0,3.433,-2.16
913229AA8,6.167,-2.155
345397A45,3.537,-2.155
98955DAA8,4.327,-2.145
483007AJ9,4.303,-2.145
118230AU5,3.467,-2.145
26885BAM2,3.22,-2.145
345397A86,3.297,-2.14
205768AS3,2.76,-2.14
02376RAE2,5.93,-2.135
1248EPCS0,2.69,-2.135
644393AA8,2.007,-2.13
835898AH0,3.64,-2.1
667449AD4,2.533,-2.1
65342QAL6,1.67,-2.1
29362UAD6,4.117,-2.095
644393AB6,1.853,-2.095
80874YBC3,3.47,-2.09
019579AA9,5.093,-2.08
049362AA4,5.093,-2.08
345397XU2,2.97,-2.08
489399AL9,4.407,-2.075
682189AQ8,2.843,-2.075
72815LAA5,2.877,-2.07
12511VAA6,4.193,-2.065
92769XAP0,3.503,-2.06
50190EAA2,3.967,-2.055
85571BAU9,2.803,-2.045
682691AC4,4.873,-2.04
366651AC1,2.773,-2.035
902104AC2,4.35,-2.03
845467AS8,2.81,-2.03
17027NAB8,2.967,-2.025
65343HAA9,2.657,-2.025
40010PAA6,7.327,-2.02
87470LAD3,3.72,-2.015
432833AF8,3.647,-2.01
13323AAB6,2.023,-2.01
911365BL7,2.937,-2.005
92735LAA0,2.14,-2.005
719245AD4,-3.477,-2.005
74166MAE6,4.74,-1.985
345397YT4,3.257,-1.985
00213MAV6,2.98,-1.975
37185LAL6,5.74,-1.97
29260FAE0,2.647,-1.97
941130AB2,2.493,-1.965
538034AV1,2.687,-1.96
87901JAJ4,0.71,-1.96
57767XAA8,4.157,-1.955
59833DAB6,3.16,-1.955
74166MAC0,2.907,-1.955
03690AAD8,2.77,-1.955
538034AX7,2.81,-1.95
345370BZ2,3.143,-1.945
668771AK4,2.977,-1.945
1248EPCB7,2.567,-1.945
78433BAA6,3.727,-1.935
315289AC2,2.11,-1.935
69007TAE4,4.047,-1.925
78454LAP5,1.463,-1.925
26885BAB6,3.713,-1.92
35906ABG2,2.453,-1.92
629377CQ3,2.277,-1.92
12653CAK4,1.547,-1.92
172441BF3,5.21,-1.905
143658BQ4,3.327,-1.905
00213MAW4,4.513,-1.9
88104LAE3,3.853,-1.9
853496AD9,4.09,-1.895
023771S58,4.027,-1.895
50168QAD7,6.133,-1.89
13123XBF8,4.893,-1.885
398433AP7,4.38,-1.885
1248EPBX0,3.277,-1.885
88632QAE3,2.877,-1.88
682691AB6,3.947,-1.875
203372AX5,2.51,-1.87
043436AW4,4.933,-1.865
893647BQ9,4.55,-1.85
38016LAC9,2.37,-1.85
50220MAA8,2.77,-1.845
05605HAC4,2.42,-1.845
74965LAA9,3.707,-1.835
53523LAA8,4.663,-1.82
816196AT6,2.26,-1.81
901109AF5,6.237,-1.805
192108BC1,3.197,-1.805
431318AY0,3.567,-1.795
87305RAK5,2.95,-1.795
12769GAA8,5.243,-1.79
66981QAA4,3.083,-1.79
226373AR9,2.673,-1.79
02156LAF8,3.4,-1.785
59565XAC4,2.987,-1.785
12662PAB4,4.133,-1.78
1248EPBT9,2.657,-1.78
668771AL2,2.963,-1.77
536797AG8,2.903,-1.77
23345MAA5,2.567,-1.765
879369AG1,2.933,-1.76
42239PAA7,-0.83,-1.76
247361ZN1,4.16,-1.755
45174HBC0,2.693,-1.755
67059TAE5,4.11,-1.75
64110LAS5,2.743,-1.745
12116LAA7,1.993,-1.745
366651AG2,2.643,-1.735
62482BAB8,4.983,-1.73
893647BL0,3.757,-1.73
59567LAA2,2.14,-1.73
57164PAF3,3.98,-1.725
74101XAE0,2.977,-1.725
432833AJ0,3.26,-1.715
85571BAY1,2.933,-1.715
63938CAM0,5.827,-1.71
35906ABF4,3.03,-1.705
57665RAN6,2.413,-1.7
043436AU8,4.033,-1.695
858912AG3,2.923,-1.685
02154CAF0,4.477,-1.68
92943GAD3,3.52,-1.68
78410GAD6,2.347,-1.68
337932AH0,1.813,-1.68
78471RAB2,2.72,-1.675
389284AA8,0.743,-1.67
98919VAB1,-0.443,-1.665
171484AE8,3.81,-1.66
552704AF5,3.003,-1.66
436440AM3,2.393,-1.66
87157DAG4,3.063,-1.655
68622TAA9,2.923,-1.655
24665FAC6,2.743,-1.65
31556TAC3,4.993,-1.645
019576AC1,7.403,-1.64
46284VAE1,3.733,-1.64
03969YAA6,2.543,-1.635
92660FAN4,3.057,-1.63
131347CM6,2.9,-1.63
20914UAF3,3.877,-1.625
345370BY5,3.207,-1.625
97382WAA1,2.033,-1.625
02406PAU4,4.763,-1.62
