CUSIP,10/31/22 MTD,11/30/22 MTD,12/31/22 MTD,01/31/23 MTD,02/28/23 MTD
00081TAK4,5.91,5.71,-0.53,5.15,-4.86
00119LAA9,8.18,0.07,-0.83,3.06,-0.35
00150LAB7,0.98,2.82,-1.15,5.73,2.45
00164VAE3,2.49,-2.44,-10.65,10.85,11.87
00164VAF0,3.64,-3.42,-14.16,-1.05,19.9
00165CAP9,-20.05,-26.22,7.63,23.26,3.57
00165CBA1,-10.59,-15.76,-5.87,8.63,2.76
00175PAB9,4.36,-0.74,0.33,1.02,-1.02
00175PAC7,3.08,1.66,-1.34,1.13,-1.41
001846AA2,3.65,3.49,-0.79,2.1,0.83
00185PAA9,2.63,5.48,-0.41,3.06,-0.1
001877AA7,1.03,4.19,1.97,2.67,-0.19
00191AAD8,5.42,3.83,-4.57,12.85,4.97
00191UAA0,2.7,0.88,1.88,1.34,-0.84
001940AC9,3.27,1.17,1.62,4.31,-1.79
00213MAV6,4.66,1.99,-3.02,2.29,-0.93
00213MAW4,0.3,8.39,-1.02,4.85,-2.78
00217AAA4,2.85,1.31,1.23,1.4,0.63
00253XAA9,1.88,2.46,-1.17,2.43,-0.12
00253XAB7,4.76,3.14,-1.82,6.26,-1.35
003000AA4,-2.04,5.65,0.21,2.93,0.66
00401YAA8,5.03,0.57,1.16,1.33,-1.32
00404AAN9,2.04,2.02,1.45,1.91,-2.03
00404AAP4,2,2.81,0.61,1.7,-2.16
004498AB7,1.42,0.85,1.4,2.28,-1.57
00489LAA1,4.21,-0.22,-0.79,4.15,-0.71
00489LAD5,4.55,-0.74,0.59,3.51,0.28
00489LAF0,3.98,0.61,1.86,0.44,-1.32
00489LAH6,8.5,-2.64,2.4,3.02,-0.11
00511BAA5,-1.8,-1.26,-0.66,2.82,-1.54
00623PAA9,-1.23,3.87,2.8,2.31,2.29
00653VAA9,3.52,0.26,0.6,3.1,-2.24
00653VAC5,6.7,-0.78,0.13,4.16,-3.05
00687YAA3,2.48,4.57,0.56,2.35,-1.87
00737WAA7,1.54,2.91,-1.08,1.87,-0.38
00773HAA5,0.63,1.76,3.13,3.39,-0.67
00774CAB3,1.65,3.22,0.12,1.92,-1.97
00775PAA5,7.92,-7.06,-2.7,1.2,1.18
00790RAA2,1.43,1,1.3,1.94,-1.98
00790RAB0,0.26,0.44,1.01,2.96,-3
00791GAA5,2.76,2.84,0.24,2.09,0.78
00810GAC8,6.19,-1.78,-0.45,0.87,-2.66
00840KAA7,7.42,1.38,0.91,2.8,-0.87
00842XAA7,4.11,2.26,0.76,5.85,0.2
00867FAA6,-3.89,0.94,1.56,5.77,0.48
008911BD0,-0.38,0.45,0.41,4.94,1.38
008911BK4,3.44,3.78,-3.11,4.61,-2.06
01021FAA7,-1.51,-4.18,-5.89,8.36,3.96
01021FAB5,-4.72,-4.15,-9.55,12,3.86
013092AA9,2.13,0.62,0.03,1.08,-0.25
013092AB7,2.43,2.28,-0.24,3.22,-0.57
013092AC5,3.4,0.35,1.24,2.34,-0.58
013092AE1,5.37,1.01,-0.25,3.69,-1.82
013092AF8,2.44,1.1,0.96,1.44,-0.3
013092AG6,2.82,1.11,1.03,3.17,-1.28
013304AA8,1.32,4.1,1.72,1.31,-0.13
013305AA5,3.12,-0.1,1.08,1.26,2.11
013817AJ0,3.45,1.74,-0.56,2.47,-1.55
013817AW1,1.49,0.74,0.23,1.34,-0.11
015857AH8,-0.09,2.33,-0.52,4.67,-0.8
016900AC6,0.33,1.15,0.88,1.82,1.02
01741RAH5,0.6,2.92,2.96,1.62,-0.81
01741RAL6,1.16,2.32,3.9,3.98,-1.39
01748XAD4,0.48,3.23,-0.12,3.39,0.94
01771YAA8,-16.06,7.89,-4.23,5.28,7.78
01883LAA1,5.91,1.47,-0.42,4.48,-2.27
01883LAB9,5.64,0.06,0.55,2.16,-2.86
01883LAD5,3.94,1.23,-2.83,6.42,-3.24
019576AA5,7.88,-0.14,-2.47,5.42,-0.71
019576AB3,6.43,4.54,-1.51,9.28,-3.08
019576AC1,7.92,3.79,2.71,10.5,-5.99
019579AA9,9.34,1.13,-1.42,4.81,-2.74
019736AE7,4.75,1.16,0.62,2.52,-1.39
019736AF4,2.9,2.51,-0.96,3.08,-1.1
02005NBF6,-0.64,2.5,-1.13,2.63,-1.17
02128LAA4,3.41,2.97,2.78,3.41,1.48
02154CAF0,3.89,3.69,-1.33,5.85,-2.03
02154CAH6,3.51,4.34,-3.6,7.07,-2.08
02156LAA9,3.22,5.06,-2.44,3.29,0.49
02156LAC5,0.77,5.77,-2.47,6.22,-0.2
02156LAE1,3.56,3.84,-2.56,3.36,-0.43
02156LAF8,1.39,3.51,-2.8,5.3,-0.77
